first_name,second_name,web_name,id,team,element_type
Albert,Sambi Lokonga,Sambi,21,Luton,MID
Marvelous,Nakamba,Nakamba,52,Luton,MID
Elijah,Adebayo,Adebayo,314,Luton,FWD
Mads Juel,Andersen,Andersen,315,Luton,DEF
Amari'i,Bell,Bell,316,Luton,DEF
Luke,Berry,Berry,317,Luton,MID
Reece,Burke,Burke,318,Luton,DEF
Allan,Campbell,Campbell,319,Luton,MID
Jordan,Clark,Clark,320,Luton,MID
Alfie,Doughty,Doughty,321,Luton,DEF
Luke,Freeman,Freeman,322,Luton,MID
Matt,Macey,Macey,323,Luton,GLK
John,McAtee,McAtee,324,Luton,FWD
Carlos,Mendes Gomes,Mendes,325,Luton,MID
Carlton,Morris,Morris,326,Luton,FWD
Admiral,Muskwe,Muskwe,327,Luton,FWD
Chiedozie,Ogbene,Ogbene,328,Luton,FWD
Fred,Onyedinma,Onyedinma,329,Luton,MID
Gabriel,Osho,Osho,330,Luton,DEF
Aribim,Pepple,Pepple,331,Luton,FWD
Dion,Pereira,Pereira,332,Luton,MID
Dan,Potts,Potts,333,Luton,DEF
Glen,Rea,Rea,334,Luton,MID
James,Shea,Shea,335,Luton,GLK
Joe,Taylor,Taylor,336,Luton,FWD
Elliot,Thorpe,Thorpe,337,Luton,MID
Jack,Walton,Walton,338,Luton,GLK
Louie,Watson,Watson,339,Luton,MID
Cauley,Woodrow,Woodrow,340,Luton,FWD
Teden,Mengi,Mengi,393,Luton,DEF
